Num	Loc	Z 3.5	Z 4.4144	Z 5.3288	Z 6.2432	Z 7.1576	Z 8.072	Z 8.9864	Z 9.9008	Z 10.8152	Z 11.7296	Z 12.644
2	168.3628	914.5874	914.5714	914.519	914.3577	914.2766	914.2172	914.1895	914.2083	914.2249	914.3258	914.3877
3	169.2772	914.6072	914.5985	914.5285	914.4319	914.3281	914.2512	914.2375	914.2495	914.2712	914.3735	914.4463
4	170.1916	914.6185	914.5959	914.5829	914.4361	914.3269	914.2283	914.2142	914.243	914.2735	914.3761	914.4575
5	171.106	914.6121	914.5998	914.6072	914.4223	914.3282	914.2484	914.1931	914.2502	914.2675	914.3629	914.4506
6	172.0204	914.605	914.5874	914.5446	914.4133	914.3095	914.2268	914.199	914.2241	914.2617	914.3785	914.4179
7	172.9348	914.5985	914.5763	914.5405	914.3994	914.2911	914.2341	914.1863	914.186	914.2293	914.345	914.3946
8	173.8492	914.6122	914.5811	914.5419	914.4007	914.3192	914.223	914.1824	914.2295	914.2673	914.3624	914.4085
9	174.7636	914.6072	914.5809	914.5331	914.3982	914.317	914.2234	914.1677	914.2026	914.2396	914.3181	914.4093
10	175.678	914.6064	914.5692	914.5431	914.4182	914.3086	914.2303	914.1797	914.1702	914.2195	914.2874	914.3639
11	176.5924	914.6172	914.5848	914.5146	914.4072	914.324	914.2455	914.19	914.2112	914.2432	914.3171	914.3906
12	177.5068	914.6196	914.5859	914.5351	914.4161	914.326	914.2448	914.1865	914.1921	914.2307	914.3223	914.3846
13	178.4212	914.6262	914.5889	914.5413	914.4171	914.282	914.2411	914.2059	914.2175	914.2458	914.3245	914.3858
14	179.3356	914.6301	914.6005	914.558	914.4339	914.3034	914.2274	914.216	914.2344	914.2672	914.3472	914.4097
15	180.25	914.6234	914.6048	914.5492	914.4387	914.3163	914.2597	914.2488	914.2702	914.2972	914.3564	914.4244
16	181.1644	914.6309	914.5971	914.565	914.4141	914.314	914.2756	914.2159	914.2133	914.2985	914.3596	914.4368
17	182.0788	914.6249	914.5942	914.5541	914.3943	914.3172	914.2436	914.2181	914.2333	914.2886	914.3663	914.4266
18	182.9932	914.621	914.5775	914.5412	914.4108	914.2855	914.2056	914.205	914.2328	914.2605	914.35	914.3895
19	183.9076	914.6307	914.5966	914.5561	914.4196	914.2936	914.2567	914.2327	914.2316	914.2901	914.3734	914.4274
20	184.822	914.6276	914.5999	914.5709	914.4578	914.3146	914.2677	914.23	914.2397	914.3115	914.3881	914.4512
21	185.7364	914.6223	914.6045	914.5649	914.4556	914.2916	914.282	914.2562	914.244	914.2977	914.3928	914.4597
22	186.6508	914.6143	914.6002	914.549	914.4003	914.3369	914.2252	914.2144	914.2124	914.2982	914.3793	914.4458
23	187.5652	914.6216	914.6119	914.5651	914.4228	914.3261	914.2711	914.2317	914.2059	914.3054	914.3961	914.4678
24	188.4796	914.6635	914.6271	914.5977	914.4637	914.35	914.2811	914.2336	914.2164	914.3123	914.421	914.5013
25	189.394	914.6706	914.6476	914.6384	914.5105	914.3769	914.3549	914.2437	914.2647	914.3376	914.4119	914.5298
26	190.3084	914.6622	914.653	914.6494	914.5465	914.4519	914.3751	914.3077	914.3095	914.32	914.4943	914.5433
27	191.2228	914.6695	914.6641	914.6773	914.632	914.5646	914.5009	914.4909	914.3551	914.2244	914.5561	914.5981
28	192.1372	914.6699	914.6666	914.6807	914.6981	914.6889	914.6469	914.5948	914.5641	914.4795	914.6504	914.7058
29	193.0516	914.665	914.6641	914.6848	914.7089	914.7105	914.7246	914.6992	914.6035	914.4627	914.7126	914.7263
30	193.966	914.6594	914.6515	914.675	914.6987	914.7214	914.7292	914.7283	914.7167	914.7231	914.7017	914.6974
31	194.8804	914.6528	914.6357	914.6655	914.6895	914.7145	914.7176	914.7286	914.7206	914.7377	914.744	914.7184
32	195.7948	914.6584	914.6507	914.6684	914.6887	914.734	914.7346	914.7468	914.7025	914.5936	914.7206	914.7874
33	196.7092	914.6628	914.6459	914.6631	914.6655	914.6911	914.6652	914.6235	914.6781	914.3297	914.5834	914.5993
34	197.6236	914.6522	914.6393	914.6378	914.6564	914.6331	914.5122	914.4868	914.3727	914.2946	914.4434	914.5649
35	198.538	914.6543	914.639	914.6426	914.6124	914.5806	914.4008	914.2635	914.3015	914.2885	914.3516	914.4763
36	199.4524	914.653	914.6385	914.6418	914.5717	914.4305	914.3079	914.2219	914.2407	914.2313	914.3016	914.4399
